Unnamed: 0,Item,Shape,Color,Stock Pcs.,Stock Wt.,Description,Cp Std,Size,Origin,Gem Type
1.0,SRD00151221,RD,Blue,2.0,2.21,Sapphire Round 6.00,77.0,06.00,,Sapp
1.0,SRD00152424,D/C,Blue,2.0,4.24,Madagascar Sapphire Round D/C 7.5 | 7.1,180.0,07.50 | 07.10,Madagascar,Sapp
1.0,SRD00153285,D/C,Blue,2.0,2.85,Australia Sapphire Round D/C 6.60 | 6.50,210.0,06.60 | 06.50,Australia,Sapp
1.0,SRD00154148,D/C,Blue,1.0,1.48,Australia Sapphire Round D/C 6.60,150.0,06.60,Australia,Sapp
1.0,SRD00155544,RD,Blue,1.0,5.44,Sapphire Round  10.9MM,320.0,10.90,,Sapp
1.0,SRD00156477,RD,Blue,1.0,4.77,Sapphire Round 9.15MM,320.0,09.15,,Sapp
1.0,SRD00157233,RD,Blue,1.0,2.33,Sapphire Round 8.10MM,320.0,08.10,,Sapp
1.0,SRD00160331,RD,Blue,1.0,3.31,Sapphire Round 8.80MM,80.0,08.80,,Sapp
1.0,SRD00161305,RD,Blue,2.0,3.05,Blue Sapphire Rounds 6.90 / 6.70,100.0,06.90 | 06.70,,Sapp
1.0,SRD00163225,RD,Blue,1.0,2.25,Blue Sapphire Rounds 7.82,180.0,07.82,,Sapp
1.0,SRD00164202,RD,Blue,2.0,2.02,Blue Sapphire Rounds pair 6.00,600.0,06.00,,Sapp
1.0,SRD00165159,RD,Blue,1.0,1.59,Blue Sapphire Rounds 7.35,110.0,07.35,,Sapp
1.0,SRD00176266,RD,Blue,2.0,2.66,Blue Sapphire Rounds 6.4|7.0,300.0,06.40 | 07.00,,Sapp
1.0,SRD00177252,RD,Blue,2.0,2.52,Blue Sapphire Rounds 5.8|5.7,300.0,05.80 | 05.70,,Sapp
1.0,SRD00178218,RD,Blue,2.0,2.18,Blue Sapphire Rounds 5.8|6.1,300.0,05.80 | 06.10,,Sapp
1.0,SRD00179272,RD,Blue,2.0,2.72,Blue Sapphire Rounds 6.45MM,300.0,06.45,,Sapp
1.0,SRD00182440,RD,Blue,1.0,4.4,Blue Sapphire Rounds 9.05,300.0,09.05,,Sapp
1.0,SRD00183325,RD,Blue,1.0,3.25,Blue Sapphire Rounds 8.84,300.0,08.84,,Sapp
1.0,SRD00184203,RD,Blue,2.0,2.03,Blue Sapphire Rounds 5.85|6.18,300.0,05.85 | 06.18,,Sapp
1.0,SRD00190210,RD,Blue,1.0,2.1,Blue Sapphire Rounds 7.36,300.0,07.36,,Sapp
1.0,SRD00191347,RD,Blue,2.0,3.47,Blue Sapphire Rounds 6.60,300.0,06.60,,Sapp
